0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000
0	0	0	1240	1100	0	0	0	1030	1030	0	0	0	0	0	0	0	1000
710	840	1060	1240	1100	0	540	640	1030	1030	0	0	0	0	0	0	0	1000
810	1250	1400	1240	1100	830	590	640	1030	1030	150	0	0	0	0	0	0	1000
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000
0	0	0	1240	1100	0	0	0	1030	1030	0	0	0	0	0	0	0	1000
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000
470	1310	0	0	0	1080	510	0	0	0	440	0	0	0	0	0	0	1000
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000
470	0	1380	0	0	1080	0	500	0	0	390	0	0	0	0	0	280	1000
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000
490	0	0	1150	0	950	0	0	560	0	240	0	0	0	0	0	450	1000
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000
340	0	0	0	1150	950	0	0	0	480	10	0	0	0	0	0	610	1000
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000
0	0	0	1290	1000	0	0	0	790	990	0	0	0	0	0	0	0	1000
480	0	0	1290	1000	420	0	0	790	990	0	0	0	0	0	0	800	1000
480	0	0	1290	1000	420	0	0	790	990	0	-200	0	0	0	0	800	1000
480	0	0	1290	1000	420	0	0	790	990	0	40	0	0	0	0	800	1000
480	0	0	1290	1000	420	0	0	790	990	0	-150	0	0	0	0	800	1000
480	0	0	1290	1000	420	0	0	790	990	0	40	0	0	0	0	800	1000
480	0	0	1290	1000	420	0	0	790	990	0	-200	0	0	0	0	800	1000
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000
0	900	1080	1010	900	0	1360	1380	1240	1370	0	0	0	0	0	0	0	1000
0	900	1080	1010	900	0	1360	1380	1240	1370	900	0	0	0	0	0	0	1000
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000
570	1270	0	0	0	840	490	0	0	0	550	0	70	180	200	0	70	1000
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000
500	1490	1600	1250	1150	0	820	820	870	1020	900	0	0	0	0	0	0	1000
