0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000
900	900	1110	1200	1230	270	490	410	700	820	550	0	0	0	0	0	120	1000
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000
0	1200	1140	1140	1074	0	570	545	630	647	900	0	0	0	0	0	0	1000
900	1200	1140	1140	1074	621	570	545	630	647	900	0	0	0	0	0	0	1000
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000
0	894	1038	800	851	0	791	604	791	826	900	0	0	0	0	0	0	1000
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000
730	820	0	0	0	540	580	0	0	0	730	0	0	0	0	0	0	1000
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000
0	0	0	1200	1234	0	0	0	698	817	0	0	0	0	0	0	0	1000
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000
510	1120	0	0	0	1150	560	0	0	0	330	0	0	0	0	0	0	1000
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000
900	0	1170	0	0	710	0	460	0	0	380	0	0	0	0	0	0	1000
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000
350	0	0	1090	0	910	0	0	640	0	270	0	0	0	0	0	390	1000
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000
890	0	0	0	1050	360	0	0	0	640	30	0	0	0	-200	0	310	1000
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000
900	0	0	1200	920	0	0	0	720	940	0	-70	110	0	0	0	400	1000
